City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
315,Tomatlan,MX,19.9333,-105.25,66.97,79,18,1.86,few clouds
316,Borogontsy,RU,62.6683,131.1683,-30.08,92,100,3.31,overcast clouds
317,Cidreira,BR,-30.1811,-50.2056,75.09,91,0,6.24,clear sky
318,Maniitsoq,GL,65.4167,-52.9,2.79,78,100,12.5,overcast clouds
319,Hamilton,US,39.1834,-84.5333,26.04,68,100,6.91,overcast clouds
320,Inuvik,CA,68.3499,-133.7218,-19.34,69,40,2.3,scattered clouds
321,San Policarpo,PH,12.1791,125.5072,80.42,85,23,14.03,few clouds
322,Moron,AR,-34.6534,-58.6198,77.97,79,93,7.29,overcast clouds
323,Buala,SB,-8.145,159.5921,83.05,75,95,9.8,light rain
324,Rawson,AR,-43.3002,-65.1023,61.88,55,0,19.35,clear sky
325,Neuquen,AR,-38.9516,-68.0591,69.69,64,0,4.61,clear sky
326,Tinskoy,RU,56.1525,96.9161,8.33,96,100,2.55,overcast clouds
327,Bulgan,MN,48.8125,103.5347,-3.39,90,58,2.44,broken clouds
328,Tongliao,CN,43.6125,122.2653,19.89,36,12,21.09,few clouds
329,Vung Tau,VN,10.346,107.0843,78.04,76,98,6.02,overcast clouds
330,Prainha,BR,-1.8,-53.48,73.17,95,88,2.46,overcast clouds
331,Broken Hill,AU,-31.95,141.4333,76.8,31,0,12.73,clear sky
332,Pacifica,US,37.6138,-122.4869,53.53,55,20,11.5,few clouds
333,Indianola,US,41.3581,-93.5574,15.66,65,3,3.0,clear sky
334,Westport,US,41.1415,-73.3579,35.58,58,0,10.36,clear sky
335,Palmer,US,42.1584,-72.3287,26.15,67,40,6.91,scattered clouds
336,Ust-Kut,RU,56.7938,105.7672,0.12,96,100,3.27,overcast clouds
337,Paragominas,BR,-2.9667,-47.4833,72.0,99,100,4.38,moderate rain
338,Xining,CN,36.6167,101.7667,21.97,28,100,2.48,overcast clouds
339,Key Largo,US,25.0865,-80.4473,75.99,79,1,9.66,clear sky
